location,Budapest
lat,47.49973
lon,19.01991
asl,158.301
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Budapest Temperature [2 m elevation corrected]
20200914T0000,22.781458
20200914T0100,22.311459
20200914T0200,21.571459
20200914T0300,20.741459
20200914T0400,20.371458
20200914T0500,20.111458
20200914T0600,19.571459
20200914T0700,19.601458
20200914T0800,21.021458
20200914T0900,23.241459
20200914T1000,26.031458
20200914T1100,27.451458
20200914T1200,28.411459
20200914T1300,29.331459
20200914T1400,29.271458
20200914T1500,29.961458
20200914T1600,30.601458
20200914T1700,30.651459
20200914T1800,30.261457
20200914T1900,29.031458
20200914T2000,27.601458
20200914T2100,26.031458
20200914T2200,24.761457
20200914T2300,23.671457
20200915T0000,22.731459
20200915T0100,22.091457
20200915T0200,21.471458
20200915T0300,20.591457
20200915T0400,19.711458
20200915T0500,18.981459
20200915T0600,18.401459
20200915T0700,18.121458
20200915T0800,19.261457
20200915T0900,21.751457
20200915T1000,24.711458
20200915T1100,27.121458
20200915T1200,28.871458
20200915T1300,30.311459
20200915T1400,31.361458
20200915T1500,31.871458
20200915T1600,32.06146
20200915T1700,31.851458
20200915T1800,31.221458
20200915T1900,29.811459
20200915T2000,28.571459
20200915T2100,27.391459
20200915T2200,26.141459
20200915T2300,24.761457
20200916T0000,23.511457
20200916T0100,22.661459
20200916T0200,22.001457
20200916T0300,21.501457
20200916T0400,21.291458
20200916T0500,20.831459
20200916T0600,20.231459
20200916T0700,20.111458
20200916T0800,21.251457
20200916T0900,23.041458
20200916T1000,25.161459
20200916T1100,27.781458
20200916T1200,30.041458
20200916T1300,31.041458
20200916T1400,30.741459
20200916T1500,31.231459
20200916T1600,31.431458
20200916T1700,31.251457
20200916T1800,30.701458
20200916T1900,29.871458
20200916T2000,29.581459
20200916T2100,28.881458
20200916T2200,27.231459
20200916T2300,24.631458
20200917T0000,23.081459
20200917T0100,22.611458
20200917T0200,22.521458
20200917T0300,22.781458
20200917T0400,22.811459
20200917T0500,22.641459
20200917T0600,22.541458
20200917T0700,22.261457
20200917T0800,22.871458
20200917T0900,24.881458
20200917T1000,25.721458
20200917T1100,26.671457
20200917T1200,27.781458
20200917T1300,28.851458
20200917T1400,30.031458
20200917T1500,30.111458
20200917T1600,30.091457
20200917T1700,29.841457
20200917T1800,28.561459
20200917T1900,26.961458
20200917T2000,24.931458
20200917T2100,24.131458
20200917T2200,21.631458
20200917T2300,20.471458
20200918T0000,18.951458
20200918T0100,17.681458
20200918T0200,16.791458
20200918T0300,16.001457
20200918T0400,15.151458
20200918T0500,14.591458
20200918T0600,13.981458
20200918T0700,13.531458
20200918T0800,14.051458
20200918T0900,14.861458
20200918T1000,16.311459
20200918T1100,18.191458
20200918T1200,19.691458
20200918T1300,20.721458
20200918T1400,21.871458
20200918T1500,22.471458
20200918T1600,22.861458
20200918T1700,22.701458
20200918T1800,22.221458
20200918T1900,20.901459
20200918T2000,19.621458
20200918T2100,18.231459
20200918T2200,17.111458
20200918T2300,16.171457
20200919T0000,15.121458
20200919T0100,14.281458
20200919T0200,13.471458
20200919T0300,12.531458
20200919T0400,11.751458
20200919T0500,11.121458
20200919T0600,10.631458
20200919T0700,10.461458
20200919T0800,11.941458
20200919T0900,14.461458
20200919T1000,17.041458
20200919T1100,19.311459
20200919T1200,20.911459
20200919T1300,22.301458
20200919T1400,21.941458
20200919T1500,22.861458
20200919T1600,23.311459
20200919T1700,23.271458
20200919T1800,22.881458
20200919T1900,22.001457
20200919T2000,21.301458
20200919T2100,20.311459
20200919T2200,18.811459
20200919T2300,17.671457
20200920T0000,16.801458
20200920T0100,15.971458
20200920T0200,15.281458
20200920T0300,14.751458
20200920T0400,14.361458
20200920T0500,13.961458
20200920T0600,13.521458
20200920T0700,13.401458
20200920T0800,14.791458
20200920T0900,16.851458
20200920T1000,19.081459
20200920T1100,20.931458
20200920T1200,22.651459
20200920T1300,24.291458
20200920T1400,23.901459
20200920T1500,24.671457
20200920T1600,25.171457
20200920T1700,25.321459
20200920T1800,24.941458
20200920T1900,23.991459
20200920T2000,22.841457
20200920T2100,21.281458
20200920T2200,19.941458
20200920T2300,18.601458
20200921T0000,17.491459
20200921T0100,16.721458
20200921T0200,16.091457
20200921T0300,15.671458
20200921T0400,15.131458
20200921T0500,14.461458
20200921T0600,14.051458
20200921T0700,13.761458
20200921T0800,15.111458
20200921T0900,17.621458
20200921T1000,19.841457
20200921T1100,22.361458
20200921T1200,25.291458
20200921T1300,27.171457
20200921T1400,26.031458
20200921T1500,26.521458
20200921T1600,26.671457
20200921T1700,26.511457
20200921T1800,25.931458
20200921T1900,24.991459
20200921T2000,24.341457
20200921T2100,22.801458
20200921T2200,21.141459
20200921T2300,19.411459
20200922T0000,18.051458
20200922T0100,17.071459
20200922T0200,16.221458
20200922T0300,15.6414585
20200922T0400,15.241458
20200922T0500,14.8914585
20200922T0600,14.481458
20200922T0700,14.271458
20200922T0800,15.521458
20200922T0900,18.291458
20200922T1000,21.031458
20200922T1100,24.041458
20200922T1200,26.701458
20200922T1300,27.761457
20200922T1400,27.431458
20200922T1500,27.781458
20200922T1600,27.831459
20200922T1700,27.441458
20200922T1800,26.521458
20200922T1900,25.341457
20200922T2000,24.181458
20200922T2100,22.671457
20200922T2200,21.561459
20200922T2300,20.651459
20200923T0000,19.621458
20200923T0100,18.911459
20200923T0200,17.751457
20200923T0300,17.311459
20200923T0400,17.021458
20200923T0500,16.631458
20200923T0600,16.431458
20200923T0700,16.221458
20200923T0800,16.991459
20200923T0900,18.331459
20200923T1000,20.301458
20200923T1100,22.231459
20200923T1200,24.041458
20200923T1300,25.861458
20200923T1400,27.131458
20200923T1500,26.171457
20200923T1600,26.181458
20200923T1700,26.081459
20200923T1800,25.881458
20200923T1900,25.241459
20200923T2000,24.371458
20200923T2100,23.111458
20200923T2200,22.701458
20200923T2300,21.861458
20200924T0000,20.471458
20200924T0100,19.451458
20200924T0200,18.611458
20200924T0300,18.371458
20200924T0400,17.901459
20200924T0500,17.391459
20200924T0600,17.091457
20200924T0700,16.691458
20200924T0800,17.571459
20200924T0900,19.291458
20200924T1000,20.761457
20200924T1100,22.301458
20200924T1200,24.001457
20200924T1300,25.491459
20200924T1400,26.241459
20200924T1500,26.421457
20200924T1600,26.351458
20200924T1700,26.151459
20200924T1800,25.521458
20200924T1900,25.021458
20200924T2000,24.621458
20200924T2100,23.991459
20200924T2200,22.961458
20200924T2300,21.781458
20200925T0000,20.521458
20200925T0100,19.621458
20200925T0200,18.791458
20200925T0300,18.311459
20200925T0400,17.901459
20200925T0500,17.761457
20200925T0600,17.401459
20200925T0700,17.631458
20200925T0800,18.431458
20200925T0900,19.561459
20200925T1000,20.771458
20200925T1100,21.341457
20200925T1200,19.751457
20200925T1300,17.881458
20200925T1400,18.291458
20200925T1500,20.331459
20200925T1600,22.211458
20200925T1700,22.231459
20200925T1800,22.981459
20200925T1900,22.721458
20200925T2000,21.641459
20200925T2100,20.891459
20200925T2200,19.651459
20200925T2300,18.231459
20200926T0000,17.621458
20200926T0100,17.501457
20200926T0200,17.401459
20200926T0300,17.361458
20200926T0400,17.181458
20200926T0500,16.781458
20200926T0600,11.011458
20200926T0700,10.181458
20200926T0800,10.671458
20200926T0900,11.671458
20200926T1000,12.061459
20200926T1100,13.091458
20200926T1200,14.421458
20200926T1300,15.261458
20200926T1400,15.711458
20200926T1500,15.911458
20200926T1600,15.911458
20200926T1700,15.431458
20200926T1800,14.501458
20200926T1900,13.921458
20200926T2000,13.371458
20200926T2100,12.971458
20200926T2200,12.131458
20200926T2300,11.321458
20200927T0000,10.731458
20200927T0100,10.191458
20200927T0200,9.451458
20200927T0300,9.221458
20200927T0400,8.821458
20200927T0500,8.701458
20200927T0600,8.711458
20200927T0700,8.851459
20200927T0800,10.131458
20200927T0900,12.161458
20200927T1000,14.071458
20200927T1100,15.271458
20200927T1200,16.481457
20200927T1300,17.541458
20200927T1400,18.171457
20200927T1500,18.401459
20200927T1600,18.391459
20200927T1700,17.971458
20200927T1800,17.351458
20200927T1900,16.691458
20200927T2000,15.951458
20200927T2100,15.171458
20200927T2200,14.811459
20200927T2300,14.131458
20200928T0000,13.721458
20200928T0100,13.351459
20200928T0200,13.991458
20200928T0300,13.911458
20200928T0400,13.361458
20200928T0500,12.701458
20200928T0600,11.831458
20200928T0700,11.221458
20200928T0800,11.741458
20200928T0900,13.161458
20200928T1000,13.661458
20200928T1100,14.061459
20200928T1200,16.051458
20200928T1300,18.171457
20200928T1400,19.601458
20200928T1500,19.731459
20200928T1600,18.661459
20200928T1700,18.491459
20200928T1800,17.421457
20200928T1900,17.111458
20200928T2000,16.781458
20200928T2100,16.321457
20200928T2200,15.861458
20200928T2300,15.3914585
