,Ping (ms),Download (Mbit/s),Upload (Mbit/s),Date,Time
0,26.992,91.80,14.31,2016-11-24,13:36:25
1,24.532,88.19,14.12,2016-11-24,13:36:55
2,20.225,59.86,14.11,2016-11-24,13:37:25
3,19.332,91.81,14.22,2016-11-24,13:37:57
4,22.494,92.05,14.08,2016-11-24,13:38:27
5,17.586,91.88,14.18,2016-11-24,13:39:01
6,21.835,92.18,14.07,2016-11-24,13:39:30
7,20.464,92.05,14.13,2016-11-24,13:40:00
8,19.293,90.79,14.14,2016-11-24,13:40:30
9,20.354,92.64,14.07,2016-11-24,13:41:00
10,19.01,91.86,14.38,2016-11-24,13:41:30
11,18.092,92.24,14.23,2016-11-24,13:42:00
12,18.137,91.64,14.32,2016-11-24,13:42:30
13,18.344,92.85,14.2,2016-11-24,13:43:00
14,23.328,92.21,14.2,2016-11-24,13:43:29
15,17.908,92.24,11.36,2016-11-24,13:43:59
16,19.291,92.41,14.03,2016-11-24,13:44:31
17,20.117,90.39,14.17,2016-11-24,13:45:01
18,19.579,92.55,14.06,2016-11-24,13:45:32
19,16.364,78.51,13.71,2016-11-24,13:46:02
20,19.147,91.49,14.17,2016-11-24,13:46:34
21,19.342,91.46,14.16,2016-11-24,13:47:04
22,21.959,91.19,14.37,2016-11-24,13:47:34
23,19.951,91.64,13.87,2016-11-24,13:48:04
24,17.13,90.47,14.38,2016-11-24,13:48:36
25,19.822,91.90,14.19,2016-11-24,13:49:06
26,20.559,91.96,14.18,2016-11-24,13:49:35
27,16.649,92.24,14.23,2016-11-24,13:50:05
28,21.036,90.93,13.97,2016-11-24,13:50:35
29,22.457,92.36,14.28,2016-11-24,13:51:05
30,18.345,91.42,14.22,2016-11-24,13:51:35
31,22.255,91.36,14.14,2016-11-24,13:52:04
32,18.681,91.50,14.21,2016-11-24,13:52:34
33,17.665,92.04,14.03,2016-11-24,13:53:04
34,22.605,91.04,14.31,2016-11-24,13:53:34
35,17.445,92.07,14.12,2016-11-24,13:54:04
36,20.771,92.14,9.23,2016-11-24,13:54:34
37,18.916,92.30,13.97,2016-11-24,13:55:04
38,19.17,92.27,14.06,2016-11-24,13:55:37
39,19.197,91.89,10.73,2016-11-24,13:56:07
40,20.921,92.37,14.16,2016-11-24,13:56:40
41,18.565,91.98,14.35,2016-11-24,13:57:10
