Upload (Mbit/s),Date,Time,Ping (ms),Download (Mbit/s)
14.31,2016-11-24,13:36:25,26.992,91.8
14.12,2016-11-24,13:36:55,24.532,88.19
14.11,2016-11-24,13:37:25,20.225,59.86
14.22,2016-11-24,13:37:57,19.332,91.81
14.08,2016-11-24,13:38:27,22.494,92.05
14.18,2016-11-24,13:39:01,17.586,91.88
14.07,2016-11-24,13:39:30,21.835,92.18
14.13,2016-11-24,13:40:00,20.464,92.05
14.14,2016-11-24,13:40:30,19.293,90.79
14.07,2016-11-24,13:41:00,20.354,92.64
14.38,2016-11-24,13:41:30,19.01,91.86
14.23,2016-11-24,13:42:00,18.092,92.24
14.32,2016-11-24,13:42:30,18.137,91.64
14.2,2016-11-24,13:43:00,18.344,92.85
14.2,2016-11-24,13:43:29,23.328,92.21
11.36,2016-11-24,13:43:59,17.908,92.24
14.03,2016-11-24,13:44:31,19.291,92.41
14.17,2016-11-24,13:45:01,20.117,90.39
14.06,2016-11-24,13:45:32,19.579,92.55
13.71,2016-11-24,13:46:02,16.364,78.51
14.17,2016-11-24,13:46:34,19.147,91.49
14.16,2016-11-24,13:47:04,19.342,91.46
14.37,2016-11-24,13:47:34,21.959,91.19
13.87,2016-11-24,13:48:04,19.951,91.64
14.38,2016-11-24,13:48:36,17.13,90.47
14.19,2016-11-24,13:49:06,19.822,91.9
14.18,2016-11-24,13:49:35,20.559,91.96
14.23,2016-11-24,13:50:05,16.649,92.24
13.97,2016-11-24,13:50:35,21.036,90.93
14.28,2016-11-24,13:51:05,22.457,92.36
14.22,2016-11-24,13:51:35,18.345,91.42
14.14,2016-11-24,13:52:04,22.255,91.36
14.21,2016-11-24,13:52:34,18.681,91.5
14.03,2016-11-24,13:53:04,17.665,92.04
14.31,2016-11-24,13:53:34,22.605,91.04
14.12,2016-11-24,13:54:04,17.445,92.07
9.23,2016-11-24,13:54:34,20.771,92.14
13.97,2016-11-24,13:55:04,18.916,92.3
14.06,2016-11-24,13:55:37,19.17,92.27
10.73,2016-11-24,13:56:07,19.197,91.89
14.16,2016-11-24,13:56:40,20.921,92.37
14.35,2016-11-24,13:57:10,18.565,91.98
14.05,2016-11-24,13:57:39,18.607,92.0
14.3,2016-11-24,13:58:09,17.826,91.14
10.85,2016-11-24,13:58:40,19.038,92.06
14.28,2016-11-24,13:59:10,19.712,90.45
14.33,2016-11-24,13:59:40,19.754,92.21
7.4,2016-11-24,14:00:10,22.427,88.81
14.46,2016-11-24,14:00:41,19.862,92.41
14.25,2016-11-24,14:01:10,18.858,92.25
13.95,2016-11-24,14:01:40,21.899,91.53
13.7,2016-11-24,14:02:10,19.482,91.09
13.89,2016-11-24,14:02:40,25.331,84.75
14.23,2016-11-24,14:03:10,19.632,92.42
13.31,2016-11-24,14:03:40,18.816,92.26
14.06,2016-11-24,14:04:10,20.994,92.0
13.83,2016-11-24,14:04:40,19.366,91.46
14.09,2016-11-24,14:05:10,18.014,90.88
14.16,2016-11-24,14:05:40,17.715,90.23
14.18,2016-11-24,14:06:10,20.273,91.82
11.81,2016-11-24,14:06:40,17.505,83.68
13.96,2016-11-24,14:07:11,20.7,88.98
14.25,2016-11-24,14:07:41,21.189,92.17
13.8,2016-11-24,14:08:10,21.28,91.8
14.09,2016-11-24,14:08:41,21.942,92.22
14.04,2016-11-24,14:09:12,21.935,91.83
14.01,2016-11-24,14:09:41,22.176,92.25
14.3,2016-11-24,14:10:12,20.493,91.81
11.0,2016-11-24,14:10:41,20.933,91.76
14.28,2016-11-24,14:11:11,22.627,91.79
14.2,2016-11-24,14:11:41,20.212,88.41
14.05,2016-11-24,14:12:11,20.465,90.03
14.31,2016-11-24,14:12:42,22.501,91.2
13.84,2016-11-24,14:13:14,21.149,91.98
13.91,2016-11-24,14:13:44,22.679,92.04
13.93,2016-11-24,14:14:14,20.85,92.04
14.0,2016-11-24,14:14:43,19.671,92.5
14.22,2016-11-24,14:15:13,21.312,91.17
14.15,2016-11-24,14:15:43,21.569,92.02
14.11,2016-11-24,14:16:13,23.272,92.31
14.01,2016-11-24,14:16:44,21.666,91.96
14.05,2016-11-24,14:17:14,18.758,91.36
14.32,2016-11-24,14:17:44,19.028,92.3
13.8,2016-11-24,14:18:14,19.764,89.2
14.08,2016-11-24,14:18:44,18.557,92.19
10.02,2016-11-24,14:19:14,22.456,87.69
13.87,2016-11-24,14:19:50,17.629,92.27
13.98,2016-11-24,14:20:20,19.136,92.25
13.87,2016-11-24,14:20:52,20.613,90.37
14.07,2016-11-24,14:21:22,19.783,90.88
13.85,2016-11-24,14:21:52,17.66,92.03
13.64,2016-11-24,14:22:22,22.224,91.72
14.01,2016-11-24,14:22:52,20.583,91.7
13.96,2016-11-24,14:23:25,18.076,89.82
13.94,2016-11-24,14:23:55,22.321,90.56
13.49,2016-11-24,14:24:25,21.325,87.97
